prompt_id,category,motionbricks_mode,seed_idx,n_frames,target_speed_mps,target_direction_deg,prompt_text,expected_tags,available_in_current_results,notes
slow_walk_seed00,locomotion,slow_walk,0,200,0.35,0.0,Walk forward slowly and carefully.,slow_walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
slow_walk_seed01,locomotion,slow_walk,1,200,0.35,0.0,Walk forward slowly and carefully.,slow_walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
slow_walk_seed02,locomotion,slow_walk,2,200,0.35,0.0,Walk forward slowly and carefully.,slow_walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
slow_walk_seed03,locomotion,slow_walk,3,200,0.35,0.0,Walk forward slowly and carefully.,slow_walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
slow_walk_seed04,locomotion,slow_walk,4,200,0.35,0.0,Walk forward slowly and carefully.,slow_walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
slow_walk_seed05,locomotion,slow_walk,5,200,0.35,0.0,Walk forward slowly and carefully.,slow_walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
slow_walk_seed06,locomotion,slow_walk,6,200,0.35,0.0,Walk forward slowly and carefully.,slow_walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
stealth_walk_seed00,locomotion,stealth_walk,0,200,0.35,0.0,Move forward in a stealthy low-profile walk.,stealth;forward;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
stealth_walk_seed01,locomotion,stealth_walk,1,200,0.35,0.0,Move forward in a stealthy low-profile walk.,stealth;forward;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
stealth_walk_seed02,locomotion,stealth_walk,2,200,0.35,0.0,Move forward in a stealthy low-profile walk.,stealth;forward;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
stealth_walk_seed03,locomotion,stealth_walk,3,200,0.35,0.0,Move forward in a stealthy low-profile walk.,stealth;forward;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
stealth_walk_seed04,locomotion,stealth_walk,4,200,0.35,0.0,Move forward in a stealthy low-profile walk.,stealth;forward;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
stealth_walk_seed05,locomotion,stealth_walk,5,200,0.35,0.0,Move forward in a stealthy low-profile walk.,stealth;forward;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
stealth_walk_seed06,locomotion,stealth_walk,6,200,0.35,0.0,Move forward in a stealthy low-profile walk.,stealth;forward;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
injured_walk_seed00,locomotion,injured_walk,0,200,0.35,0.0,Walk forward with an injured uneven gait while staying upright.,injured;forward;asymmetric,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
injured_walk_seed01,locomotion,injured_walk,1,200,0.35,0.0,Walk forward with an injured uneven gait while staying upright.,injured;forward;asymmetric,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
injured_walk_seed02,locomotion,injured_walk,2,200,0.35,0.0,Walk forward with an injured uneven gait while staying upright.,injured;forward;asymmetric,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
injured_walk_seed03,locomotion,injured_walk,3,200,0.35,0.0,Walk forward with an injured uneven gait while staying upright.,injured;forward;asymmetric,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
injured_walk_seed04,locomotion,injured_walk,4,200,0.35,0.0,Walk forward with an injured uneven gait while staying upright.,injured;forward;asymmetric,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
injured_walk_seed05,locomotion,injured_walk,5,200,0.35,0.0,Walk forward with an injured uneven gait while staying upright.,injured;forward;asymmetric,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
injured_walk_seed06,locomotion,injured_walk,6,200,0.35,0.0,Walk forward with an injured uneven gait while staying upright.,injured;forward;asymmetric,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_zombie_seed00,style_locomotion,walk_zombie,0,200,0.45,0.0,Walk forward in a zombie-like style with expressive upper body.,zombie;forward;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_zombie_seed01,style_locomotion,walk_zombie,1,200,0.45,0.0,Walk forward in a zombie-like style with expressive upper body.,zombie;forward;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_zombie_seed02,style_locomotion,walk_zombie,2,200,0.45,0.0,Walk forward in a zombie-like style with expressive upper body.,zombie;forward;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_zombie_seed03,style_locomotion,walk_zombie,3,200,0.45,0.0,Walk forward in a zombie-like style with expressive upper body.,zombie;forward;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_zombie_seed04,style_locomotion,walk_zombie,4,200,0.45,0.0,Walk forward in a zombie-like style with expressive upper body.,zombie;forward;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_zombie_seed05,style_locomotion,walk_zombie,5,200,0.45,0.0,Walk forward in a zombie-like style with expressive upper body.,zombie;forward;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_zombie_seed06,style_locomotion,walk_zombie,6,200,0.45,0.0,Walk forward in a zombie-like style with expressive upper body.,zombie;forward;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_stealth_seed00,style_locomotion,walk_stealth,0,180,0.35,0.0,Walk forward with a stealthy style and controlled torso motion.,stealth;forward;style,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_stealth_seed01,style_locomotion,walk_stealth,1,180,0.35,0.0,Walk forward with a stealthy style and controlled torso motion.,stealth;forward;style,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_stealth_seed02,style_locomotion,walk_stealth,2,180,0.35,0.0,Walk forward with a stealthy style and controlled torso motion.,stealth;forward;style,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_stealth_seed03,style_locomotion,walk_stealth,3,180,0.35,0.0,Walk forward with a stealthy style and controlled torso motion.,stealth;forward;style,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_stealth_seed04,style_locomotion,walk_stealth,4,180,0.35,0.0,Walk forward with a stealthy style and controlled torso motion.,stealth;forward;style,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_stealth_seed05,style_locomotion,walk_stealth,5,180,0.35,0.0,Walk forward with a stealthy style and controlled torso motion.,stealth;forward;style,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_stealth_seed06,style_locomotion,walk_stealth,6,180,0.35,0.0,Walk forward with a stealthy style and controlled torso motion.,stealth;forward;style,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_left_seed00,directional_locomotion,walk_left,0,180,0.45,90.0,Travel to the robot's left while maintaining a walking gait.,walk;left;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_left_seed01,directional_locomotion,walk_left,1,180,0.45,90.0,Travel to the robot's left while maintaining a walking gait.,walk;left;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_left_seed02,directional_locomotion,walk_left,2,180,0.45,90.0,Travel to the robot's left while maintaining a walking gait.,walk;left;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_left_seed03,directional_locomotion,walk_left,3,180,0.45,90.0,Travel to the robot's left while maintaining a walking gait.,walk;left;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_left_seed04,directional_locomotion,walk_left,4,180,0.45,90.0,Travel to the robot's left while maintaining a walking gait.,walk;left;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_left_seed05,directional_locomotion,walk_left,5,180,0.45,90.0,Travel to the robot's left while maintaining a walking gait.,walk;left;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_left_seed06,directional_locomotion,walk_left,6,180,0.45,90.0,Travel to the robot's left while maintaining a walking gait.,walk;left;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_right_seed00,directional_locomotion,walk_right,0,180,0.45,-90.0,Travel to the robot's right while maintaining a walking gait.,walk;right;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_right_seed01,directional_locomotion,walk_right,1,180,0.45,-90.0,Travel to the robot's right while maintaining a walking gait.,walk;right;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_right_seed02,directional_locomotion,walk_right,2,180,0.45,-90.0,Travel to the robot's right while maintaining a walking gait.,walk;right;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_right_seed03,directional_locomotion,walk_right,3,180,0.45,-90.0,Travel to the robot's right while maintaining a walking gait.,walk;right;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_right_seed04,directional_locomotion,walk_right,4,180,0.45,-90.0,Travel to the robot's right while maintaining a walking gait.,walk;right;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_right_seed05,directional_locomotion,walk_right,5,180,0.45,-90.0,Travel to the robot's right while maintaining a walking gait.,walk;right;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_right_seed06,directional_locomotion,walk_right,6,180,0.45,-90.0,Travel to the robot's right while maintaining a walking gait.,walk;right;directional,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_boxing_seed00,expressive_locomotion,walk_boxing,0,180,0.45,0.0,Walk forward while throwing boxing-style arm motions.,walk;boxing;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_boxing_seed01,expressive_locomotion,walk_boxing,1,180,0.45,0.0,Walk forward while throwing boxing-style arm motions.,walk;boxing;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_boxing_seed02,expressive_locomotion,walk_boxing,2,180,0.45,0.0,Walk forward while throwing boxing-style arm motions.,walk;boxing;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_boxing_seed03,expressive_locomotion,walk_boxing,3,180,0.45,0.0,Walk forward while throwing boxing-style arm motions.,walk;boxing;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_boxing_seed04,expressive_locomotion,walk_boxing,4,180,0.45,0.0,Walk forward while throwing boxing-style arm motions.,walk;boxing;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_boxing_seed05,expressive_locomotion,walk_boxing,5,180,0.45,0.0,Walk forward while throwing boxing-style arm motions.,walk;boxing;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_boxing_seed06,expressive_locomotion,walk_boxing,6,180,0.45,0.0,Walk forward while throwing boxing-style arm motions.,walk;boxing;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_happy_dance_seed00,expressive_locomotion,walk_happy_dance,0,180,0.45,0.0,Walk forward with a happy dance style and energetic arms.,walk;happy_dance;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_happy_dance_seed01,expressive_locomotion,walk_happy_dance,1,180,0.45,0.0,Walk forward with a happy dance style and energetic arms.,walk;happy_dance;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_happy_dance_seed02,expressive_locomotion,walk_happy_dance,2,180,0.45,0.0,Walk forward with a happy dance style and energetic arms.,walk;happy_dance;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_happy_dance_seed03,expressive_locomotion,walk_happy_dance,3,180,0.45,0.0,Walk forward with a happy dance style and energetic arms.,walk;happy_dance;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_happy_dance_seed04,expressive_locomotion,walk_happy_dance,4,180,0.45,0.0,Walk forward with a happy dance style and energetic arms.,walk;happy_dance;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_happy_dance_seed05,expressive_locomotion,walk_happy_dance,5,180,0.45,0.0,Walk forward with a happy dance style and energetic arms.,walk;happy_dance;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_happy_dance_seed06,expressive_locomotion,walk_happy_dance,6,180,0.45,0.0,Walk forward with a happy dance style and energetic arms.,walk;happy_dance;arm_motion,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_gun_seed00,expressive_locomotion,walk_gun,0,180,0.45,0.0,Walk forward while holding the arms in a pretend aiming pose.,walk;aiming;arm_pose,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_gun_seed01,expressive_locomotion,walk_gun,1,180,0.45,0.0,Walk forward while holding the arms in a pretend aiming pose.,walk;aiming;arm_pose,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_gun_seed02,expressive_locomotion,walk_gun,2,180,0.45,0.0,Walk forward while holding the arms in a pretend aiming pose.,walk;aiming;arm_pose,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_gun_seed03,expressive_locomotion,walk_gun,3,180,0.45,0.0,Walk forward while holding the arms in a pretend aiming pose.,walk;aiming;arm_pose,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_gun_seed04,expressive_locomotion,walk_gun,4,180,0.45,0.0,Walk forward while holding the arms in a pretend aiming pose.,walk;aiming;arm_pose,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_gun_seed05,expressive_locomotion,walk_gun,5,180,0.45,0.0,Walk forward while holding the arms in a pretend aiming pose.,walk;aiming;arm_pose,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_gun_seed06,expressive_locomotion,walk_gun,6,180,0.45,0.0,Walk forward while holding the arms in a pretend aiming pose.,walk;aiming;arm_pose,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_scared_seed00,expressive_locomotion,walk_scared,0,180,0.35,0.0,Walk forward in a scared style with guarded upper-body motion.,walk;scared;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_scared_seed01,expressive_locomotion,walk_scared,1,180,0.35,0.0,Walk forward in a scared style with guarded upper-body motion.,walk;scared;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_scared_seed02,expressive_locomotion,walk_scared,2,180,0.35,0.0,Walk forward in a scared style with guarded upper-body motion.,walk;scared;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_scared_seed03,expressive_locomotion,walk_scared,3,180,0.35,0.0,Walk forward in a scared style with guarded upper-body motion.,walk;scared;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_scared_seed04,expressive_locomotion,walk_scared,4,180,0.35,0.0,Walk forward in a scared style with guarded upper-body motion.,walk;scared;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_scared_seed05,expressive_locomotion,walk_scared,5,180,0.35,0.0,Walk forward in a scared style with guarded upper-body motion.,walk;scared;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_scared_seed06,expressive_locomotion,walk_scared,6,180,0.35,0.0,Walk forward in a scared style with guarded upper-body motion.,walk;scared;expressive,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
hand_crawling_seed00,whole_body_low,hand_crawling,0,150,0.2,0.0,Crawl forward on hands with a very low whole-body posture.,crawl;hands;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
hand_crawling_seed01,whole_body_low,hand_crawling,1,150,0.2,0.0,Crawl forward on hands with a very low whole-body posture.,crawl;hands;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
hand_crawling_seed02,whole_body_low,hand_crawling,2,150,0.2,0.0,Crawl forward on hands with a very low whole-body posture.,crawl;hands;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
hand_crawling_seed03,whole_body_low,hand_crawling,3,150,0.2,0.0,Crawl forward on hands with a very low whole-body posture.,crawl;hands;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
hand_crawling_seed04,whole_body_low,hand_crawling,4,150,0.2,0.0,Crawl forward on hands with a very low whole-body posture.,crawl;hands;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
hand_crawling_seed05,whole_body_low,hand_crawling,5,150,0.2,0.0,Crawl forward on hands with a very low whole-body posture.,crawl;hands;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
hand_crawling_seed06,whole_body_low,hand_crawling,6,150,0.2,0.0,Crawl forward on hands with a very low whole-body posture.,crawl;hands;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
elbow_crawling_seed00,whole_body_low,elbow_crawling,0,150,0.18,0.0,Crawl forward on elbows with a very low whole-body posture.,crawl;elbows;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
elbow_crawling_seed01,whole_body_low,elbow_crawling,1,150,0.18,0.0,Crawl forward on elbows with a very low whole-body posture.,crawl;elbows;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
elbow_crawling_seed02,whole_body_low,elbow_crawling,2,150,0.18,0.0,Crawl forward on elbows with a very low whole-body posture.,crawl;elbows;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
elbow_crawling_seed03,whole_body_low,elbow_crawling,3,150,0.18,0.0,Crawl forward on elbows with a very low whole-body posture.,crawl;elbows;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
elbow_crawling_seed04,whole_body_low,elbow_crawling,4,150,0.18,0.0,Crawl forward on elbows with a very low whole-body posture.,crawl;elbows;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
elbow_crawling_seed05,whole_body_low,elbow_crawling,5,150,0.18,0.0,Crawl forward on elbows with a very low whole-body posture.,crawl;elbows;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
elbow_crawling_seed06,whole_body_low,elbow_crawling,6,150,0.18,0.0,Crawl forward on elbows with a very low whole-body posture.,crawl;elbows;low_posture,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
